Number,Location2,Location,Nest Weight and P,Plastic Weight,Nest Weight,Plastic,Cotton,Moss,Twigs,Leaves,Snake Skin,Natural,Anthro,eggs.laid,eggs.hatch,Date,Julian,Beetle,First Attempt,Second Attempt,2nd Clutch,Photo,p.plastic,p.cotton,p.moss,p.twigs,p.leaves,p.snake,p.art,p.nat,total prop
26,Semi Rural,CPark,96.2,8.3,87.9,0,13.6,66.2,0,0,1.1,67.3,13.6,6,5,25-Apr,20116,No,Yes,No,n/a,26,0,0.154721274,0.753128555,0,0,0.012514221,0.154721274,0.765642776,0.92036405
28,Semi Rural,CPark,63.4,8.3,55.1,0,14.1,37.6,0.5,0,1.2,39.3,14.1,6,6,8-Jun,20160,No,Yes,No,n/a,28,0,0.255898367,0.682395644,0.00907441,0,0.021778584,0.255898367,0.713248639,0.969147005
32,Semi Rural,CPark,54,8.3,45.7,0,20.6,20.8,1.3,0,0,22.1,20.6,7,7,2-May,20123,Yes,Yes,No,n/a,32,0,0.450765864,0.455142232,0.028446389,0,0,0.450765864,0.483588621,0.934354485
1,Semi Rural,BResidence,52.4,8.3,44.1,0,15.7,22.9,0,0,1,23.9,15.7,6,6,24-Apr,20115,Yes,Yes,No,n/a,1,0,0.35600907,0.519274376,0,0,0.022675737,0.35600907,0.541950113,0.897959183
6,Semi Urban,BResidence,77.4,8.3,69.1,0,21.5,32.8,4.2,0,0,37,21.5,7,6,19-Apr,20110,No,Yes,No,n/a,6,0,0.311143271,0.474674385,0.060781476,0,0,0.311143271,0.535455861,0.846599132
8,Semi Urban,BResidence,45.4,8.3,37.1,1.1,9.6,20.4,0,0,1.1,21.5,10.7,,5,19-Apr,20110,No,Yes,No,n/a,8,0.029649596,0.258760108,0.549865229,0,0,0.029649596,0.288409704,0.579514825,0.867924529
18,Semi Urban,BResidence,55.3,8.3,47,1.2,18,27.8,0,0,0,27.8,19.2,6,6,25-Apr,20116,No,Yes,No,n/a,18,0.025531915,0.382978723,0.591489362,0,0,0,0.408510638,0.591489362,1
19,Semi Urban,BResidence,78.7,8.3,70.4,1,25.4,41.2,0,1.1,0,42.3,26.4,9,7,17-Apr,20108,No,Yes,No,n/a,19,0.014204545,0.360795455,0.585227273,0,0.015625,0,0.375,0.600852273,0.975852273
20,Semi Urban,BResidence,60,8.3,51.7,0.9,16.6,33.3,0,0,0,33.3,17.5,7,7,25-Apr,20116,No,Yes,No,n/a,20,0.017408124,0.321083172,0.64410058,0,0,0,0.338491296,0.64410058,0.982591876
21,Semi Urban,BResidence,87.5,8.3,79.2,1.1,11.5,22.6,10.1,0,0,32.7,12.6,4,4,25-Apr,20116,No,Yes,No,n/a,21,0.013888889,0.14520202,0.285353535,0.127525253,0,0,0.159090909,0.412878788,0.571969697
22,Semi Urban,BResidence,62.1,8.3,53.8,0.8,13.6,31.1,0,0,0.9,32,14.4,8,8,18-Apr,20109,No,Yes,No,n/a,22,0.014869888,0.252788104,0.578066914,0,0,0.016728625,0.267657993,0.594795539,0.862453531
27,Semi Urban,BResidence,52.7,8.3,44.4,0.9,14.1,25.5,0,0,0,25.5,15,8,7,25-Apr,20116,No,Yes,No,n/a,27,0.02027027,0.317567568,0.574324324,0,0,0,0.337837838,0.574324324,0.912162162
37,Semi Urban,BResidence,74.1,8.3,65.8,0,17.7,34.7,0,0,0,34.7,17.7,5,5,12-Jun,20164,No,Yes,No,n/a,37,0,0.26899696,0.527355623,0,0,0,0.26899696,0.527355623,0.796352583
41,Semi Urban,BResidence,53,8.3,44.7,0,8,32,0,0,0,32,8,6,6,11-May,20132,No,Yes,No,n/a,41,0,0.178970917,0.715883669,0,0,0,0.178970917,0.715883669,0.894854586
42,Semi Urban,BResidence,52,8.3,43.7,1,16,24,0,0,0,24,17,6,5,29-May,20150,No,Yes,No,n/a,42,0.022883295,0.366132723,0.549199085,0,0,0,0.389016018,0.549199085,0.938215103
